CdM_X,CdM_Y,C7_X,C7_Y,CIAS_X,CIAS_Y,CIPS_X,CIPS_Y,JOELHO_X,JOELHO_Y,TORNOZELO_X,TORNOZELO_Y,CALCANHAR_X,CALCANHAR_Y,HALUX_X,HALUX_Y
0.474531,1.01301,0.579456238,1.5171868899999998,0.397167847,1.003355957,0.594144958,1.040544678,0.493246857,0.520169495,0.590205872,0.096378067,0.640658936,0.051577366,0.41302505500000003,0.049484596000000006
0.475264,1.01302,0.580492981,1.5170485839999999,0.39790301499999997,1.0035258790000001,0.5948272090000001,1.040547485,0.494612549,0.520523682,0.5902490229999999,0.09638371999999999,0.640659668,0.051586731000000004,0.413028625,0.04955444
0.475992,1.01308,0.5815474239999999,1.516936401,0.398605865,1.003739624,0.5954860230000001,1.040609741,0.49605645800000003,0.520903259,0.590294678,0.096398079,0.640659302,0.051596634,0.413033325,0.049629005
0.476713,1.01319,0.582614441,1.516851929,0.39927832,1.0039891969999999,0.596120667,1.040728149,0.49757052599999996,0.5212955930000001,0.590345276,0.096414352,0.640659363,0.051601970999999996,0.413040558,0.04970792
0.47742399999999996,1.0133400000000001,0.5836881100000001,1.5167955320000002,0.39992334,1.004265808,0.5967311399999999,1.0408977050000001,0.49914211999999997,0.5216889650000001,0.5904024050000001,0.096426888,0.640661621,0.051599213,0.413051178,0.049791012
0.47812099999999996,1.01353,0.5847626340000001,1.516766724,0.400544464,1.004559875,0.597318298,1.041111938,0.500755066,0.5220730589999999,0.5904669800000001,0.096431404,0.640666809,0.051586296,0.413065674,0.049878357
0.478799,1.01374,0.5858321529999999,1.516763428,0.401145599,1.004862427,0.5978835450000001,1.041362915,0.5023905639999999,0.522439636,0.5905388789999999,0.09642500300000001,0.640675659,0.051562527000000004,0.41308395400000003,0.049970322000000005
0.479456,1.01396,0.586890808,1.516783569,0.401730865,1.005164734,0.598428589,1.041641479,0.504028198,0.522782654,0.5906176759999999,0.096406242,0.64068866,0.051528328000000005,0.413105682,0.050067509
0.480086,1.0142,0.587933044,1.516823853,0.402303833,1.005458923,0.598955566,1.0419388429999998,0.505647247,0.5230978390000001,0.590702087,0.09637490800000001,0.640705688,0.051484966,0.41313031,0.050170715000000005
0.48068700000000003,1.01444,0.588953796,1.516880371,0.40286795000000003,1.005738708,0.599466309,1.0422457280000001,0.507227783,0.523382874,0.5907910160000001,0.096331825,0.6407269290000001,0.051434254000000006,0.413156921,0.050280804000000005
0.481255,1.01469,0.589948425,1.516949585,0.403425751,1.005998718,0.5999628300000001,1.0425532229999999,0.508751404,0.523637329,0.590882629,0.096278671,0.640751892,0.051378292,0.41318478399999997,0.050398567
0.48179,1.01492,0.5909128419999999,1.517026978,0.40397906499999997,1.006235596,0.600446716,1.042852905,0.51020224,0.523862061,0.5909754030000001,0.096217636,0.640780579,0.051319218,0.413213074,0.050524593
0.48229099999999997,1.01515,0.5918436890000001,1.517108887,0.404528717,1.006447083,0.60091925,1.043137451,0.511567474,0.524059082,0.5910679320000001,0.09615123,0.640812195,0.051259068,0.413240997,0.050659107
0.482757,1.01537,0.592738281,1.5171915280000001,0.405074554,1.006632568,0.601381165,1.043400269,0.512837585,0.5242310179999999,0.5911585690000001,0.096082001,0.6408466190000001,0.0511996,0.413268036,0.050801872000000005
0.48318900000000004,1.01557,0.593594482,1.517270752,0.405615509,1.006792297,0.601833069,1.043636475,0.514006531,0.524381409,0.591246277,0.096012367,0.640883118,0.051142281,0.413293701,0.050952091000000005
0.48358999999999996,1.01576,0.594411194,1.517344116,0.406149506,1.006928101,0.6022744750000001,1.043841553,0.5150715330000001,0.5245133670000001,0.591329773,0.095944481,0.640921143,0.051088248999999995,0.413317749,0.051108368
0.48395900000000003,1.01592,0.5951876220000001,1.517408203,0.40667358400000003,1.007042053,0.602705078,1.044013184,0.516032593,0.5246305539999999,0.5914080810000001,0.095880089,0.640960022,0.051038338,0.413339966,0.051268723
0.484301,1.01608,0.595923462,1.517461182,0.407184174,1.00713739,0.603123474,1.044148804,0.516892395,0.5247358400000001,0.5914803470000001,0.09582056400000001,0.6409992069999999,0.050993107,0.413360321,0.051430641
0.484615,1.01621,0.596619385,1.5175009769999999,0.407677155,1.007217041,0.603528198,1.044248413,0.5176554569999999,0.524832092,0.591546021,0.095766823,0.6410378419999999,0.050952919,0.413378845,0.051591189999999995
0.484905,1.01633,0.597276001,1.517526489,0.408147858,1.007284668,0.603917358,1.044312256,0.518327759,0.524921387,0.591604248,0.095719391,0.641075073,0.050917984,0.41339544699999997,0.051747108
0.48517,1.01643,0.59789447,1.517537109,0.40859170499999997,1.0073433840000001,0.6042887570000001,1.044341064,0.51891626,0.525005371,0.591654297,0.09567848200000001,0.641110229,0.050888416,0.413410187,0.051894973999999996
0.485413,1.01652,0.598476379,1.5175321039999998,0.409003937,1.007396362,0.604640015,1.044337036,0.519427917,0.525085266,0.591695862,0.095644005,0.641142517,0.050864285,0.41342306500000003,0.052031337999999996
0.485634,1.01659,0.59902301,1.517511841,0.409380066,1.007446289,0.6049685060000001,1.0443026119999999,0.519869995,0.525161621,0.59172821,0.0956157,0.641171143,0.050845615000000004,0.413434052,0.052152884999999996
0.485832,1.01665,0.599536194,1.5174765620000001,0.409715973,1.0074954219999999,0.605271729,1.044240356,0.520249084,0.525234558,0.591751099,0.09559318500000001,0.641195374,0.050832432,0.41344317599999997,0.052256583999999995
0.486007,1.0167,0.600017395,1.5174273679999999,0.41000802599999997,1.0075455930000001,0.605547424,1.044153809,0.5205713500000001,0.525304077,0.591764282,0.095576012,0.641214478,0.050824733999999996,0.413450287,0.05233976
0.48615800000000003,1.01674,0.600468262,1.5173649900000001,0.410253235,1.007598145,0.605793091,1.044046143,0.520842407,0.5253697509999999,0.5917676390000001,0.09556373600000001,0.641228027,0.050822505999999996,0.413455383,0.052400227
0.486286,1.01677,0.6008901980000001,1.5172907709999999,0.410449341,1.007653809,0.606006775,1.043921021,0.5210670169999999,0.5254310910000001,0.5917612299999999,0.095555969,0.6412354739999999,0.05082568,0.413458435,0.052436386
0.486388,1.0167899999999999,0.601284485,1.517206421,0.41059487899999997,1.00771283,0.606186523,1.043781616,0.5212493899999999,0.525487854,0.591745605,0.09555232999999999,0.641236633,0.050834133000000004,0.41345925899999997,0.05244723900000001
